,MatchID,Player,GameWeek,ForTeam,AgainstTeam,RelativeStrength,Goals,ShotsOnTarget,ShotsInBox,CloseShots,TotalShots,Headers,ShotsCentre,ShotsLeft,ShotsRight,GoalAssists,ShotOnTargetCreated,ShotInBoxCreated,CloseShotCreated,TotalShotCreated,HeadersCreated,CreatedCentre,CreatedLeft,CreatedRight,XG,XA,XGI,Date,BPS,CleanSheet,MinutesPlayed,NetTransfersIn,Points,Price,Saves,SelectedBy
22,58898,Bukayo Saka,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.5,0.0,491508
23,58898,Matteo Guendouzi,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.0,0.0,11041
24,58898,Gabriel Martinelli,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.0,0.0,2608
25,58898,William Saliba,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,216705
26,58898,Willian,1,Arsenal,Fulham,2,0,1,0,2,2,0,0,0,0,2,2,1,2,3,0,0,1,0,0.6693910266939103,1.0214888059256433,1.6908798326195535,2020-09-12,35,1.0,74.0,0,14,8.0,0.0,473242
27,58898,Gabriel,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,37,1.0,90.0,0,15,5.0,0.0,85593
28,58898,Dani Ceballos,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,6,0.0,12.0,0,1,5.0,0.0,115657
29,58898,Mohamed Naser Elneny,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,15,1.0,90.0,0,3,4.5,0.0,0
30,58898,Matt Macey,1,Arsenal,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.0,0.0,0
31,58898,Fabricio Fabri,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.0,0.0,117641
32,58898,Kevin McDonald,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.0,0.0,5028
33,58898,Maxime Le Marchand,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,11972
34,58898,Stefan Johansen,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.0,0.0,3144
35,58898,Tom Cairney,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,11,0.0,90.0,0,1,5.5,0.0,19025
36,58898,Tim Ream,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,16,0.0,90.0,0,1,4.5,0.0,10082
37,58898,Anthony Knockaert,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.5,0.0,12640
38,58898,Michael Hector,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,12,0.0,90.0,0,0,4.5,0.0,19305
39,58898,Cyrus Christie,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,10166
40,58898,Neeskens Kebano,1,Fulham,Arsenal,-2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0808259587020649,0.0,0.0808259587020649,2020-09-12,7,0.0,62.0,0,2,5.0,0.0,9467
41,58898,Bobby Decordova-Reid,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,4,0.0,15.0,0,1,5.5,0.0,8412
42,58898,Joe Bryan,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,12,0.0,90.0,0,1,5.0,0.0,60330
43,58898,Marcus Bettinelli,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,6306
44,58898,Aleksandar Mitrovic,1,Fulham,Arsenal,-2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12577065351418001,0.0,0.12577065351418001,2020-09-12,3,0.0,27.0,0,1,6.0,0.0,1435176
45,58898,Alfie Mawson,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,1789
46,58898,Marek Rodak,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,11,0.0,90.0,0,1,4.5,2.0,27465
47,58898,Ivan Ricardo Cavaleiro,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,10,0.0,90.0,0,2,5.5,0.0,7285
48,58898,Josh Onomah,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,3,0.0,74.0,0,2,5.0,0.0,11895
49,58898,Jean Michael Seri,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.0,0.0,8146
50,58898,Aboubakar Kamara,1,Fulham,Arsenal,-2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015925680159256803,0.0,0.015925680159256803,2020-09-12,-2,0.0,62.0,0,2,5.0,0.0,6711
51,58898,Andre-Frank Anguissa,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,4,0.0,27.0,0,1,4.5,0.0,50068
52,58898,Zeze Steven Sessegnon,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,10480
53,58898,Harrison Reed,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,14,0.0,90.0,0,2,4.5,0.0,64140
54,58898,Antonee Robinson,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,7957
55,58898,Mario Lemina,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,76220
56,58898,Alphonse Areola,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,71203
57,58898,Kenny Tete,1,Fulham,Arsenal,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,7610
58,58898,Denis Odoi,1,Fulham,Arsenal,-2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12577065351418001,0.0,0.12577065351418001,2020-09-12,12,0.0,90.0,0,1,4.5,0.0,0
59,58897,Michy Batshuayi,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,6.0,0.0,121096
60,58897,Gary Cahill,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,5946
61,58897,Wayne Hennessey,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,49581
62,58897,Mamadou Sakho,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,1486
63,58897,Vicente Guaita,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,31,1.0,90.0,0,10,5.0,5.0,87269
64,58897,James Tomkins,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,538
65,58897,James McArthur,1,Crystal Palace,Southampton,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0.07230392156862746,0.1818992420864913,0.25420316365511875,2020-09-12,14,1.0,90.0,0,3,5.5,0.0,12911
66,58897,James McCarthy,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,5,1.0,73.0,0,2,4.5,0.0,144113
67,58897,Christian Benteke,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,5.5,0.0,15812
68,58897,Cheikhou Kouyate,1,Crystal Palace,Southampton,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4272251308900524,0.0,0.4272251308900524,2020-09-12,3,1.0,90.0,0,3,5.0,0.0,14565
69,58897,Joel Ward,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,22,1.0,90.0,0,6,4.5,0.0,105207
70,58897,Martin Kelly,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,79848
71,58897,Connor Wickham,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2020-09-12,0,0.0,0.0,0,0,4.5,0.0,85742
72,58897,Andros Townsend,1,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,2,0,0,0.0,0.8544502617801047,0.8544502617801047,2020-09-12,26,1.0,90.0,0,8,6.0,0.0,16534
